OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_LOG,P12_RP,P12_RSECOCC,P12_LOGVAC,TX12_RSECOCC,TX12_LOGVAC,P12_PMEN,TMM12,P12_RP_PROP,P12_RP_LOC,P12_RP_LOCHLMV,P12_RP_GRAT,TX12_RP_PROP,TX12_RP_LOCHLM,SHAPE_Length,SHAPE_Area
21,750004350,75102,6,751020601,H,Vivienne 1,88079.00425843,59154.55399571,86202.33694356,Paris,T1,751020601,751020601,75,00851,75102,Paris 2e Arrondissement,Vivienne 1,H,00,1,11.7049130449,1211.00640138435,849.044303374047,219.382154295193,142.57994371511,18.1156890702154,11.7736738263416,1663.19734261852,1.95890524912432,286.869645742028,472.605638923315,3.05967484285275,89.5690187087041,33.7873588694991,0.360366924398857,1438.66343913109,117040.032572155
22,750004309,75102,6,751020602,A,Vivienne 2,86962.85402745,75102.5235603,86931.72802688,Paris,T1,751020602,751020602,75,00851,75102,Paris 2e Arrondissement,Vivienne 2,A,00,2,12.6565198383,1263.50700737173,929.419126928395,232.082686954841,102.005193488498,18.3681361164434,8.07317987896901,1576.13130905213,1.69582405115874,281.261075502742,595.025536731615,3.2744460364988,53.132514694038,30.2620279004018,0.35231102326465,1403.04909714408,126555.96633024
23,750004379,75102,7,751020701,H,Mail 1,37102.16516006,33044.16136785,36778.77538329,Paris,T1,751020701,751020701,75,00851,75102,Paris 2e Arrondissement,Mail 1,H,00,1,5.34438743373,1540.00906362385,1202.14906359898,164.548593614804,173.311406410067,10.684910725629,11.2539211946092,2061.79370640117,1.71508989095628,429.401589002133,677.861027077947,38.6295441401315,94.886447518904,35.719496192643,3.2133738909618,1024.37669923809,53439.5381627677
24,750004363,75102,7,751020702,H,Mail 2,62508.33315974,60168.28369722,62475.81335333,Paris,T1,751020702,751020702,75,00851,75102,Paris 2e Arrondissement,Mail 2,H,00,1,8.43954958463,1535.00934313569,1239.2219710194,169.453083442086,126.334288674197,11.0392216307902,8.23019672415305,2048.00088029385,1.65265055671111,347.396787390528,828.530351780663,28.0309269747662,63.2948318482139,28.0334593410052,2.26197788857048,1551.9869746991,84388.8483896522
25,750004327,75102,7,751020703,H,Mail 3,68330.88765838,67743.55374244,68330.88765838,Paris,T1,751020703,751020703,75,00851,75102,Paris 2e Arrondissement,Mail 3,H,00,1,9.14700355077,1593.5091782152,1217.34782700336,122.185469909805,253.975881302029,7.66769790724763,15.9381498879406,2122.21268109292,1.74330839059941,361.532677122101,767.161224180971,73.5205471789058,88.653925700289,29.6983876836627,6.03940349241719,1551.69729729927,91463.1392533641
26,750004318,75102,7,751020704,A,Mail 4,36261.76627252,35311.96220486,36261.76627252,Paris,T1,751020704,751020704,75,00851,75102,Paris 2e Arrondissement,Mail 4,A,00,3,4.87730232493,476.671901590033,375.735905627751,31.0834221921829,69.852573770099,6.52092604755976,14.654225167687,683.57534856511,1.81929737969291,92.1703603523149,258.613002098429,21.5739273893522,24.9525431770078,24.5306234969276,5.74177954947056,897.617864097473,48769.4528597118
27,750004347,75102,8,751020801,H,Bonne Nouvelle 1,46118.36921509,45810.35282084,45982.55054509,Paris,T1,751020801,751020801,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 1,H,00,1,7.91846340422,1757.01022944773,1356.77751018535,145.361842798045,254.870876464329,8.27324965795651,14.5059415245659,2527.62281787547,1.86296043301172,476.663658397411,793.635044196346,30.0547583632084,86.4788075915961,35.1320430077215,2.21515746963572,1710.17914763954,79178.3301031906
28,750004389,75102,8,751020802,H,Bonne Nouvelle 2,26583.16187699,24669.7540144,26583.16187699,Paris,T1,751020802,751020802,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 2,H,00,1,3.50645908162,1607.0086358847,1145.41610245025,202.238654786337,259.353878648117,12.5847895443946,16.1389225208075,1705.61389863532,1.48907798221687,400.677626675949,645.019143105525,20.2481817048363,99.7193326687743,34.9809668136172,1.76775773114433,934.308380194757,35061.6919247011
29,750004377,75102,8,751020803,H,Bonne Nouvelle 3,38299.55453974,34946.31721627,37188.56431816,Paris,T1,751020803,751020803,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 3,H,00,1,4.93847639386,1623.00950237796,1260.34298750807,198.511004626113,164.155510243775,12.2310438931666,10.1142667373951,1939.75297425563,1.53906753437878,489.298094124644,701.977271749419,23.0590216417789,69.0676216340073,38.8226140800035,1.8295830476568,1098.84846787071,49380.7775671105
30,750004346,75102,8,751020804,H,Bonne Nouvelle 4,49799.96113735,43597.65345175,49386.53555097,Paris,T1,751020804,751020804,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 4,H,00,1,7.00707241786,1705.50981781209,1302.18043041075,191.554477931023,211.774909470314,11.2315083695477,12.417102924801,2093.3934513451,1.607606290539,401.216388221493,824.480962782564,0,76.4830794066963,30.8111210130024,0,1209.82338924161,70065.3240525784
31,750004329,75102,8,751020805,H,Bonne Nouvelle 5,30481.15595532,27451.98307602,30122.50149935,Paris,T1,751020805,751020805,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 5,H,00,1,4.78790789067,1810.01144634823,1518.18047867509,144.726169511186,147.104798161949,7.99587040198982,8.12728551848327,2398.13569913665,1.57961173445564,416.449683767965,1057.00843219306,41.8165970292315,44.7223627140662,27.4308416961993,2.75438906089246,1104.34429249284,47875.5143263564
