OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_POP1564,P12_ACT1564,TX12_ACT1564,P12_ACTOCC1564,TX12_ACTOCC1564,C12_ACTOCC15P,C12_ACTOCC15P_TCOM,TX12_ACTOCC15P_TCOM,C12_ACT1564_CS1,C12_ACT1564_CS2,C12_ACT1564_CS3,C12_ACT1564_CS4,C12_ACT1564_CS5,C12_ACT1564_CS6,SHAPE_Length,SHAPE_Area
24,750004363,75102,7,751020702,H,Mail 2,62508.33315974,60168.28369722,62475.81335333,Paris,T1,751020702,751020702,75,00851,75102,Paris 2e Arrondissement,Mail 2,H,00,1,8.43954958463,1610.99277528939,1304.52546067768,80.976493544072,1103.05785612477,68.4706891951531,1128.78753542545,718.752945158742,63.6747769267168,1.00110453481308,64.8380558446832,613.810531863675,305.351789688918,226.554347321436,80.875809861886,1551.9869746991,84388.8483896522
25,750004327,75102,7,751020703,H,Mail 3,68330.88765838,67743.55374244,68330.88765838,Paris,T1,751020703,751020703,75,00851,75102,Paris 2e Arrondissement,Mail 3,H,00,1,9.14700355077,1637.32543566316,1343.24026468088,82.0386854942393,1188.34347639446,72.5783311314131,1218.85138915099,766.650030889054,62.8993852501637,0,80.4216151759914,655.580325001797,251.905603525841,201.084711438512,148.109902417237,1551.69729729927,91463.1392533641
26,750004318,75102,7,751020704,A,Mail 4,36261.76627252,35311.96220486,36261.76627252,Paris,T1,751020704,751020704,75,00851,75102,Paris 2e Arrondissement,Mail 4,A,00,3,4.87730232493,526.492670986095,453.966842829865,86.2247221750699,389.601307652709,73.9993791220313,398.053670777416,272.811111222548,68.536263135003,0,12.5751277537137,244.588229559196,87.4166009130524,79.8858288546314,22.690900762283,897.617864097473,48769.4528597118
27,750004347,75102,8,751020801,H,Bonne Nouvelle 1,46118.36921509,45810.35282084,45982.55054509,Paris,T1,751020801,751020801,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 1,H,00,1,7.91846340422,2121.55504496758,1713.4817466652,80.7653683428886,1493.92892706141,70.4166941416428,1510.56585703352,889.94655521564,58.9147802508484,0,95.3484681161411,782.047061976367,386.64192747717,269.648683797981,162.701728811978,1710.17914763954,79178.3301031906
28,750004389,75102,8,751020802,H,Bonne Nouvelle 2,26583.16187699,24669.7540144,26583.16187699,Paris,T1,751020802,751020802,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 2,H,00,1,3.50645908162,1392.14698639607,1212.24478274532,87.0773556665539,1068.60277628976,76.7593355250588,1082.66615907455,684.09476636553,63.1861225763525,0,101.6826726021,606.111797267871,288.955546903155,145.432357696703,57.9317225768753,934.308380194757,35061.6919247011
29,750004377,75102,8,751020803,H,Bonne Nouvelle 3,38299.55453974,34946.31721627,37188.56431816,Paris,T1,751020803,751020803,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 3,H,00,1,4.93847639386,1424.80556013392,1155.93067817416,81.1290123029498,1022.88307399863,71.7910641717657,1031.25110594869,585.88382798083,56.8129163305819,0,59.8767444144148,655.488592771841,189.372874148861,160.819671574574,80.3242687411506,1098.84846787071,49380.7775671105
30,750004346,75102,8,751020804,H,Bonne Nouvelle 4,49799.96113735,43597.65345175,49386.53555097,Paris,T1,751020804,751020804,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 4,H,00,1,7.00707241786,1789.15177116975,1483.00230528691,82.8885692753345,1370.57141800493,76.604536299838,1390.2687370791,862.675013731071,62.0509539431578,0,56.8149352814965,703.558475586437,359.454069687596,246.912205720773,109.668001700328,1209.82338924161,70065.3240525784
31,750004329,75102,8,751020805,H,Bonne Nouvelle 5,30481.15595532,27451.98307602,30122.50149935,Paris,T1,751020805,751020805,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 5,H,00,1,4.78790789067,1887.49035322503,1570.28698942393,83.1944378810139,1379.75439685649,73.0999442989995,1398.64957725854,954.913818879188,68.2739861653477,0,106.768058312508,686.640614239776,409.22304523914,220.026203471601,127.146434150658,1104.34429249284,47875.5143263564
32,750004356,75103,9,751030901,H,Arts et Metiers 1,35090.51946522,33149.08784627,33149.08784627,Paris,T1,751030901,751030901,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 1,H,00,1,5.50869047424,1544.99358983399,1259.93966167444,81.5498310132033,1123.05614368488,72.6900196269133,1146.14310330306,669.095006161782,58.377963819136,0,69.5972298519377,559.385119418807,297.942299536692,218.220090328928,103.760965473395,1494.01511087674,55082.6744678163
33,750004368,75103,9,751030902,H,Arts et Metiers 2,30727.36130625,29793.95274878,30660.91031458,Paris,T1,751030902,751030902,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 2,H,00,1,4.14962594901,1749.7005056271,1473.21736713511,84.1982592104874,1306.16718081161,74.6509003461409,1330.07825422811,911.807919772811,68.5529529465141,0,92.5597536123332,809.795377189662,305.608443249126,160.094226449206,90.9591920276182,1313.34422380805,41492.9804417687
34,750004381,75103,9,751030903,H,Arts et Metiers 3,46762.29708308,30142.52464974,46333.06917267,Paris,T1,751030903,751030903,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 3,H,00,2,7.11759958618,1451.39241369631,1253.29965700789,86.3515369917135,1092.99381072306,75.3065677075916,1135.94699077781,688.795714721074,60.6362550641064,0,49.0015572599531,641.320971557608,306.022962229523,192.335133864561,39.6338793540305,1244.86355118984,71170.2376604365
35,750004397,75103,9,751030904,H,Arts et Metiers 4,33033.40600258,30272.23626982,33033.40600258,Paris,T1,751030904,751030904,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 4,H,00,2,4.25865358082,1570.29625878182,1269.75025184828,80.860553844362,1120.05291086938,71.3274902494052,1136.97905575165,771.918250322317,67.8920378011717,2.65265625395672,78.3941647194632,626.160467944008,270.257838935343,198.289055711167,85.3215093760514,859.687646637381,42582.9682183454
36,750004351,75103,9,751030905,H,Arts et Metiers 5,70551.71967761,33647.58164406,63085.92371744,Paris,T1,751030905,751030905,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 5,H,00,2,10.7676932898,1367.10474908115,1099.24674794575,80.4069145897247,985.854016938829,72.1125442363826,1008.51809369098,604.501567607295,59.9395857534831,2.7905608150182,42.5017227475133,444.062517171231,270.656006655846,223.261033790148,88.7128345679554,1667.84182098143,107668.318526553
37,750004376,75103,10,751031001,H,Enfants Rouges 1,44980.50701557,40681.64808208,43337.38701328,Paris,T1,751031001,751031001,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 1,H,00,1,6.45441074171,1742.78015950201,1451.77303385459,83.3021322821019,1310.51166598232,75.1966138033608,1328.96678395501,841.864190349113,63.3472710163397,0,65.0128318959923,696.593175053501,316.494647775263,248.879708427926,107.194640415281,986.362244701411,64538.8714514116
38,750004398,75103,10,751031002,H,Enfants Rouges 2,41266.47655863,41266.47655863,41266.47655863,Paris,T1,751031002,751031002,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 2,H,00,1,6.1052259833,1682.01896154432,1393.85815979906,82.8681597334263,1202.73972165976,71.5057171861778,1214.47991099018,749.646563262173,61.7257277356673,2.97853723481846,76.8500966063775,714.121981897219,315.982430393246,201.007499799391,70.9854688716746,1165.30936396765,61046.9796088799
39,750004407,75103,10,751031003,H,Enfants Rouges 3,52698.35445812,48923.54007141,52442.04699219,Paris,T1,751031003,751031003,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 3,H,00,1,6.75060304704,2143.05326197258,1741.27521673817,81.2520737415275,1578.29560730184,73.6470546629857,1634.92478802027,901.990069239047,55.1701262252723,2.75971746783922,110.326574789609,941.975974939775,434.349673364626,203.40318326948,42.9406579711657,1251.56720117693,67500.1893596741
40,750004393,75103,10,751031004,H,Enfants Rouges 4,50213.87453116,31811.36045523,41998.73700586,Paris,T1,751031004,751031004,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 4,H,00,1,7.87920012547,1651.29456959196,1337.38383682431,80.9900220985276,1209.3869095071,73.2387141444997,1229.8356937993,663.9147115642,53.9840171261565,0,116.5923458208,658.282061369552,314.723908063305,157.288474345959,90.4970472246959,1299.15631299972,78785.3389433738
41,750004491,75103,11,751031101,H,Les Archives 1,61877.29272209,57407.82248102,60925.31237307,Paris,T1,751031101,751031101,75,00851,75103,Paris 3e Arrondissement,Les Archives 1,H,00,1,7.64735677722,1590.21129158567,1281.38337151873,80.5794411282924,1159.34732270868,72.9052377406179,1199.1933089026,718.47938156881,59.9135582424406,3.07422416560095,100.558903840615,688.881571816576,272.993250567765,172.327111559045,40.4553539585121,1176.96853894674,76466.4676479616
