OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_RP_VOIT1P,TX12_RP_VOIT1P,C12_MEN,C12_MENPSEUL,TX12_MENPSEUL,C12_NE24F1,C12_NE24F2,C12_NE24F3,C12_NE24F4P,C12_NE24F,TX12_NE24F,SHAPE_Length,SHAPE_Area
26,750004318,75102,7,751020704,A,Mail 4,36261.76627252,35311.96220486,36261.76627252,Paris,T1,751020704,751020704,75,00851,75102,Paris 2e Arrondissement,Mail 4,A,00,3,4.87730232493,114.080164734945,,375.735905627751,185.640832927167,49.4072645564741,34.662814390972,31.5557155006385,8.39432419797231,2.05465975136688,76.6675138409496,20.4046280093619,897.617864097473,48769.4528597118
27,750004347,75102,8,751020801,H,Bonne Nouvelle 1,46118.36921509,45810.35282084,45982.55054509,Paris,T1,751020801,751020801,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 1,H,00,1,7.91846340422,309.941942057051,,1359.77753280408,683.925613314393,50.2968755414006,118.809301626654,93.6955074215057,45.7154347618368,6.33388905961151,264.554132869608,19.4556923090247,1710.17914763954,79178.3301031906
28,750004389,75102,8,751020802,H,Bonne Nouvelle 2,26583.16187699,24669.7540144,26583.16187699,Paris,T1,751020802,751020802,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 2,H,00,1,3.50645908162,208.018716080749,,1145.41610245025,774.229609539726,67.5937423861522,71.0313644828604,31.9133413477818,14.441149050008,3.25282459817423,120.638679478824,10.5323016867632,934.308380194757,35061.6919247011
29,750004377,75102,8,751020803,H,Bonne Nouvelle 3,38299.55453974,34946.31721627,37188.56431816,Paris,T1,751020803,751020803,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 3,H,00,1,4.93847639386,216.696408376277,,1260.34298750807,855.206524381476,67.8550626978436,76.6215710050569,55.1181421120734,19.1900864088473,4.49813197199812,155.427931497976,12.3321931441286,1098.84846787071,49380.7775671105
30,750004346,75102,8,751020804,H,Bonne Nouvelle 4,49799.96113735,43597.65345175,49386.53555097,Paris,T1,751020804,751020804,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 4,H,00,1,7.00707241786,156.163416976967,,1302.18043041075,770.961852926753,59.2054553210852,91.7063605381565,63.3514520078953,7.93386906882634,0.977921729329869,163.969603344208,12.5919265498781,1209.82338924161,70065.3240525784
31,750004329,75102,8,751020805,H,Bonne Nouvelle 5,30481.15595532,27451.98307602,30122.50149935,Paris,T1,751020805,751020805,75,00851,75102,Paris 2e Arrondissement,Bonne Nouvelle 5,H,00,1,4.78790789067,163.802458111316,,1518.18047867509,1006.17710727333,66.2751972776923,128.544698349805,63.3977953462704,32.7417144365412,1.08723137801441,225.771439510631,14.8711857833702,1104.34429249284,47875.5143263564
32,750004356,75103,9,751030901,H,Arts et Metiers 1,35090.51946522,33149.08784627,33149.08784627,Paris,T1,751030901,751030901,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 1,H,00,1,5.50869047424,250.10725934627,,1078.62184238307,598.627417625112,55.4992856720316,169.768589148109,92.1151424197525,19.6640326764841,0,281.547764244346,26.102546154851,1494.01511087674,55082.6744678163
33,750004368,75103,9,751030902,H,Arts et Metiers 2,30727.36130625,29793.95274878,30660.91031458,Paris,T1,751030902,751030902,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 2,H,00,1,4.14962594901,298.761848579725,,1305.53081425807,762.544911640967,58.4088022521569,82.7696932362485,58.274757975127,17.115013816971,3.08014529739222,161.239610325739,12.350502076611,1313.34422380805,41492.9804417687
34,750004381,75103,9,751030903,H,Arts et Metiers 3,46762.29708308,30142.52464974,46333.06917267,Paris,T1,751030903,751030903,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 3,H,00,2,7.11759958618,242.867466918903,,1134.65636698206,664.449278439582,58.5595161473314,70.8959367301372,75.7413743055319,18.7230574551304,8.22857049301896,173.588938983818,15.2988115199607,1244.86355118984,71170.2376604365
35,750004397,75103,9,751030904,H,Arts et Metiers 4,33033.40600258,30272.23626982,33033.40600258,Paris,T1,751030904,751030904,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 4,H,00,2,4.25865358082,253.457665709778,,1263.85409802135,791.32906421004,62.6123747550388,121.000509877521,49.2939715398882,19.9197026482327,0,190.214184065642,15.0503277525021,859.687646637381,42582.9682183454
36,750004351,75103,9,751030905,H,Arts et Metiers 5,70551.71967761,33647.58164406,63085.92371744,Paris,T1,751030905,751030905,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 5,H,00,2,10.7676932898,183.530054493214,,988.758171489889,571.595574377396,57.80944126268,93.5952727003767,52.7406799876254,11.4552288186337,11.3007349341212,169.091916440757,17.1014431350756,1667.84182098143,107668.318526553
37,750004376,75103,10,751031001,H,Enfants Rouges 1,44980.50701557,40681.64808208,43337.38701328,Paris,T1,751031001,751031001,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 1,H,00,1,6.45441074171,286.799456031266,,1203.98223366282,630.674757839051,52.3823973648164,136.259610023696,84.8604194014429,37.7168658573215,3.20854902938523,262.045444311845,21.7648929515044,986.362244701411,64538.8714514116
38,750004398,75103,10,751031002,H,Enfants Rouges 2,41266.47655863,41266.47655863,41266.47655863,Paris,T1,751031002,751031002,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 2,H,00,1,6.1052259833,372.437253369687,,1284.65315841051,715.888061207185,55.7261745335955,106.841528951277,76.9638358940512,21.2730814582107,2.97853723481846,208.056983538357,16.1955763838844,1165.30936396765,61046.9796088799
39,750004407,75103,10,751031003,H,Enfants Rouges 3,52698.35445812,48923.54007141,52442.04699219,Paris,T1,751031003,751031003,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 3,H,00,1,6.75060304704,489.139493460824,,1650.96818001883,943.179579676141,57.1288769275603,196.867347743317,96.6337390822572,21.6798020954195,2.86901506930546,318.049903990299,19.264447845789,1251.56720117693,67500.1893596741
40,750004393,75103,10,751031004,H,Enfants Rouges 4,50213.87453116,31811.36045523,41998.73700586,Paris,T1,751031004,751031004,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 4,H,00,1,7.87920012547,330.280397111467,,1261.35870327022,674.924155523782,53.5077098825229,113.155539310007,100.822882696591,26.053103022067,0,240.031525028665,19.0296007318422,1299.15631299972,78785.3389433738
41,750004491,75103,11,751031101,H,Les Archives 1,61877.29272209,57407.82248102,60925.31237307,Paris,T1,751031101,751031101,75,00851,75103,Paris 3e Arrondissement,Les Archives 1,H,00,1,7.64735677722,416.365904461091,,1197.07112101159,592.357751272076,49.4839229578524,135.86106080855,121.031551895698,34.9094389866394,3.1879256800221,294.98997737091,24.6426442166299,1176.96853894674,76466.4676479616
42,750004525,75103,11,751031102,H,Les Archives 2,42117.46044027,39957.37427593,41768.48468866,Paris,T1,751031102,751031102,75,00851,75103,Paris 3e Arrondissement,Les Archives 2,H,00,2,6.07697412166,387.240373129005,,994.258774262772,488.210833204601,49.1029946973917,90.3533910757694,73.6109376381232,8.64067221955167,2.85750976334018,175.462510696784,17.6475697513343,1179.31855777348,60763.8665952002
43,750004492,75103,11,751031103,H,Les Archives 3,99468.12721685,48129.60286699,91264.03021503,Paris,T1,751031103,751031103,75,00851,75103,Paris 3e Arrondissement,Les Archives 3,H,00,1,11.6070314867,316.401746755003,,984.975009021279,553.079705536499,56.1516485668064,92.6781641419897,45.4223212099267,13.5484276911567,0,151.648913043073,15.3962193613175,1623.877650154,116059.401891421
44,750004477,75103,11,751031104,H,Les Archives 4,92836.80252882,80477.59859316,91488.78882163,Paris,T1,751031104,751031104,75,00851,75103,Paris 3e Arrondissement,Les Archives 4,H,00,1,11.449427375,556.694973253484,,1664.20828578369,951.39637417636,57.1681070394588,149.35430488688,125.056681712951,40.0087250402504,8.06662293133353,322.486334571415,19.3777628272986,1523.59508532694,114483.863630898
45,750004414,75103,12,751031201,H,Sainte-Avoye 1,55459.19222673,43194.2898586,55459.19222673,Paris,T1,751031201,751031201,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 1,H,00,1,6.7806556572,305.276214601055,,1222.69321685429,740.724759593161,60.5814074522207,68.4609456787001,59.071521934223,32.1740434781453,0,159.706511091068,13.061862852397,1108.64545438576,67800.6793423649
46,750004475,75103,12,751031202,H,Sainte-Avoye 2,44892.68003617,37384.36626227,40846.0915704,Paris,T1,751031202,751031202,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 2,H,00,1,5.53535957994,240.944148752908,,1089.40099405331,631.666209367526,57.9828926920015,83.3816526384006,60.5798632204935,14.2186792093342,8.34393362144327,166.524128689672,15.2858432843989,955.287223316526,55348.6588645366
47,750004465,75103,12,751031203,H,Sainte-Avoye 3,31129.6352086,29836.62199658,31129.6352086,Paris,T1,751031203,751031203,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 3,H,00,1,4.26516330482,261.739479443508,,1181.80270171971,701.817252709529,59.3853146289373,100.181154122632,62.6331450182089,32.7157462467606,0,195.530045387601,16.5450667106341,855.71782436847,42647.9006835806
48,750004405,75103,12,751031204,H,Sainte-Avoye 4,34125.55099336,31000.41001816,33249.82759551,Paris,T1,751031204,751031204,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 4,H,00,1,4.74474256582,210.008934890008,,1275.38749247124,724.202093379681,56.7829069717815,110.06170768672,68.4839227722009,16.3628268248234,7.8374832846061,202.745940568351,15.8968111076189,852.08796960255,47443.3999123723
49,750004499,75104,13,751041301,H,Saint-Merri 1,33283.96418234,32317.03245552,33283.96418234,Paris,T1,751041301,751041301,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 1,H,00,2,4.42516850752,308.433640120165,,945.057844211509,456.706918019956,48.3258163314861,94.7486177378013,77.4050202125145,12.2960020312019,0,184.449639981518,19.5172857525361,931.738345575953,44247.565778239
50,750004489,75104,13,751041302,H,Saint-Merri 2,75107.43305801,60494.73405218,74275.67758034,Paris,T1,751041302,751041302,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 2,H,00,1,10.5001598037,304.428446822102,,1336.82096597227,738.557081289022,55.2472694615371,130.849780796362,83.9324231877921,9.12331195888739,8.99674016617149,232.902256109213,17.4220978004952,1354.96808255071,104991.866481133
51,750004484,75104,13,751041303,H,Saint-Merri 3,31131.50644375,30887.79055387,30887.79055387,Paris,T1,751041303,751041303,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 3,H,00,2,4.97933390378,203.547966448787,,1070.21029447424,615.266844242143,57.490275268227,111.007967367744,52.6241237296885,23.121551562023,2.18290474129674,188.936547400752,17.6541515603315,1078.96268218672,49788.7681971931
52,750004530,75104,13,751041304,A,Saint-Merri 4,41880.56846214,3451.36747641,28301.47337696,Paris,T1,751041304,751041304,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 4,A,00,3,7.63432630319,61.744406758787,,206.099435403316,120.270493321557,58.3555666157941,30.8729221071863,3.45124944800966,6.89923132322042,0,41.2234028784164,20.0017058745195,1289.22255729993,76335.8332685918
